VARIABLE,VARIABLE_NAME,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,MEASUREMENT_PERIOD,BUILDING_USE,SEASONALLY_ADJUSTED
BLDGS_2_UNITS_M,"Two-Family Buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Two-Family Buildings,
BLDGS_2_UNITS_M_YTD,"Two-Family Buildings: Estimates With Imputation (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Two-Family Buildings,
BLDGS_2_UNITS_REP_A,Two-Family Buildings reported: Reported Only Data (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Two-Family Buildings,
BLDGS_2_UNITS_REP_M,"Two-Family Buildings reported: Reported Only Data (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Two-Family Buildings,
BLDGS_2_UNITS_REP_M_YTD,"Two-Family Buildings reported: Reported Only Data (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Two-Family Buildings,
BLDGS_3_4_UNITS_A,Three- and Four-Family Buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_M,"Three- and Four-Family Buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_M_YTD,"Three- and Four-Family Buildings: Estimates With Imputation (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_REP_A,Three- and Four-Family Buildings reported: Reported Only Data (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_REP_M,"Three- and Four-Family Buildings reported: Reported Only Data (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_REP_M_YTD,"Three- and Four-Family Buildings reported: Reported Only Data (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Three- and Four-Family Buildings,
BLDGS_5_UNITS_A,Five-or-More Family Buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Five-or-More Family Buildings,
BLDGS_5_UNITS_M,"Five-or-More Family Buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Five-or-More Family Buildings,
